viajes23,monto_sinavion,montoxdia_sinavion,empleado,duracion,inicio_fecha,inicio_hora,fin_fecha,fin_hora,cancelado,destino,tipo_corto,anticipo,comprobación_fecha,dga,unidad
V11711,41442.87062,2960.205044,E322,14,15/10/2023,16:13:00,28/10/2023,15:38:00,,Monterrey,CA,"42,000.00",09/11/2023,DG6,Sistemas
V16241,37931.58917,5418.798453,E855,7,13/08/2023,13:00:00,19/08/2023,22:00:00,,Benito Juárez,GC,"21,000.00",06/10/2023,DG7,Administración
V13282,31932.4101,4561.772871,E855,7,24/09/2023,12:00:00,30/09/2023,23:00:00,,Tuxtla Gutiérrez,GC,"21,000.00",03/11/2023,DG7,Administración
V11723,30227.06006,2159.075719,E875,14,15/10/2023,16:13:00,28/10/2023,15:38:00,,Monterrey,CA,"30,046.00",09/11/2023,DG6,Sistemas
V13441,29842.1104,1865.1319,E893,16,22/09/2023,6:00:00,07/10/2023,23:00:00,,MORELIA,CA,"20,000.00",07/11/2023,DG9,Sur
V13321,26859.36085,1790.624056,E920,15,23/09/2023,7:00:00,07/10/2023,23:00:00,,NAHUATZEN,CA,"24,000.00",19/10/2023,DG9,Occidente
V13254,26763.47974,1911.677124,E349,14,24/09/2023,0:01:00,07/10/2023,23:59:00,,Morelia,CA,"21,000.00",17/10/2023,DG9,Norte
V13260,26437.46021,1888.390015,E492,14,24/09/2023,8:00:00,07/10/2023,23:00:00,,Morelia,CA,"23,000.00",01/11/2023,DG9,Occidente
V13322,26371.99048,1648.249405,E931,16,23/09/2023,14:00:00,08/10/2023,12:00:00,,Morelia,CA,"20,500.00",27/10/2023,DG9,Noroeste
V13272,26230.37939,1873.598528,E831,14,24/09/2023,10:00:00,07/10/2023,23:00:00,,Morelia,CA,"16,511.00",25/10/2023,DG1,Estrategia
V13270,25936.44018,1852.60287,E802,14,24/09/2023,7:00:00,07/10/2023,20:00:00,,Morelia,CA,"24,100.00",03/11/2023,DG9,Occidente
V13250,25442.48925,1817.32066,E239,14,24/09/2023,12:00:00,07/10/2023,18:00:00,,Morelia,CA,"21,000.00",26/10/2023,DG9,Occidente
V13293,25441.07007,1817.219291,E898,14,24/09/2023,5:00:00,07/10/2023,23:30:00,,Morelia,CA,"22,000.00",08/11/2023,DG9,Sur
V13297,25390.30051,1813.592893,E912,14,24/09/2023,7:00:00,07/10/2023,22:00:00,,Morelia,CA,"23,000.00",17/10/2023,DG9,Sureste
